"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 03:49:04 UTC 2023","Mon Nov 06 03:49:20 UTC 2023","16468","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Nov 06 02:30:39 UTC 2023","Mon Nov 06 02:30:45 UTC 2023","5983","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Nov 06 02:24:29 UTC 2023","Mon Nov 06 02:24:45 UTC 2023","15682","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Nov 06 02:40:50 UTC 2023","Mon Nov 06 02:40:55 UTC 2023","4809","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Nov 06 04:08:18 UTC 2023","Mon Nov 06 04:09:27 UTC 2023","68389","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Nov 06 04:17:29 UTC 2023","Mon Nov 06 04:17:31 UTC 2023","2562","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Nov 06 02:38:09 UTC 2023","Mon Nov 06 02:38:15 UTC 2023","6614","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Nov 06 02:44:58 UTC 2023","Mon Nov 06 02:44:59 UTC 2023","397","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Nov 06 02:34:23 UTC 2023","Mon Nov 06 02:34:27 UTC 2023","3978","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Nov 06 03:56:36 UTC 2023","Mon Nov 06 03:56:46 UTC 2023","9652","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Mon Nov 06 02:23:49 UTC 2023","Mon Nov 06 02:23:49 UTC 2023","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Nov 06 02:23:27 UTC 2023","Mon Nov 06 02:23:49 UTC 2023","22276","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Nov 06 03:56:23 UTC 2023","Mon Nov 06 03:56:36 UTC 2023","13895","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Nov 06 03:37:28 UTC 2023","Mon Nov 06 03:37:31 UTC 2023","3306","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Nov 06 04:17:35 UTC 2023","Mon Nov 06 04:17:43 UTC 2023","8426","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Nov 06 03:58:39 UTC 2023","Mon Nov 06 03:58:55 UTC 2023","16577","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Nov 06 02:44:34 UTC 2023","Mon Nov 06 02:44:55 UTC 2023","20310","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Nov 06 03:44:22 UTC 2023","Mon Nov 06 03:44:24 UTC 2023","2183","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Nov 06 02:47:37 UTC 2023","Mon Nov 06 02:47:43 UTC 2023","6108","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Nov 06 02:58:25 UTC 2023","Mon Nov 06 02:58:39 UTC 2023","14309","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Nov 06 02:36:14 UTC 2023","Mon Nov 06 02:36:16 UTC 2023","2089","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
